"product_review","word","n","sentiment"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","cutting",170,"fear"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","cutting",170,"negative"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","cutting",170,"sadness"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","feeling",149,"anger"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","feeling",149,"anticipation"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","feeling",149,"disgust"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","feeling",149,"fear"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","feeling",149,"joy"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","feeling",149,"negative"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","feeling",149,"positive"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","feeling",149,"sadness"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","feeling",149,"surprise"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","feeling",149,"trust"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","time",147,"anticipation"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","recommend",141,"positive"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","recommend",141,"trust"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","beautiful",132,"joy"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","beautiful",132,"positive"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","perfect",127,"anticipation"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","perfect",127,"joy"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","perfect",127,"positive"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","perfect",127,"trust"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","blue",125,"sadness"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","eat",124,"positive"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","plush",123,"positive"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","expected",115,"anticipation"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","smell",108,"anger"
